codigo_geo,nombre_territorio,pais,componente,puntuacion_pca,varianza_explicada_pct,varianza_acumulada_pct
ES41,Castilla y León,España,PC2,-1.6870936684900788,27.594062812565006,60.588474639509975
ES42,Castilla-La Mancha,España,PC2,-0.48567609325734173,27.594062812565006,60.588474639509975
ES43,Extremadura,España,PC2,-0.8144918617787454,27.594062812565006,60.588474639509975
ES51,Cataluña,España,PC2,-0.7960956547389331,27.594062812565006,60.588474639509975
ES52,Comunitat Valenciana ,España,PC2,0.7843309479119688,27.594062812565006,60.588474639509975
ES61,Andalucía,España,PC2,1.5495390797027302,27.594062812565006,60.588474639509975
ES62,Región de Murcia,España,PC2,1.181081194332054,27.594062812565006,60.588474639509975
PT11,Norte,Portugal,PC2,0.8887066054852384,27.594062812565006,60.588474639509975
PT15,Algarve,Portugal,PC2,2.8528411002449485,27.594062812565006,60.588474639509975
PT19,Centro (PT),Portugal,PC2,0.3990692687973658,27.594062812565006,60.588474639509975
PT1A,Grande Lisboa,Portugal,PC2,4.6947769346784165,27.594062812565006,60.588474639509975
PT1B,Península de Setúbal,Portugal,PC2,4.001209968186482,27.594062812565006,60.588474639509975
PT1C,Alentejo,Portugal,PC2,1.7671549615876183,27.594062812565006,60.588474639509975
PT1D,Oeste e Vale do Tejo,Portugal,PC2,2.7199881181435597,27.594062812565006,60.588474639509975
ES11,Galicia,España,PC3,-2.2741979249361117,13.947060586385588,74.53553522589556
ES12,Principado de Asturias,España,PC3,-0.547695049014331,13.947060586385588,74.53553522589556
ES13,Cantabria,España,PC3,0.0012604291238725801,13.947060586385588,74.53553522589556
ES21,País Vasco,España,PC3,1.3864734860988852,13.947060586385588,74.53553522589556
ES22,Comunidad Foral de Navarra,España,PC3,0.10295227757532824,13.947060586385588,74.53553522589556
ES23,La Rioja,España,PC3,-0.46527108303774034,13.947060586385588,74.53553522589556
ES24,Aragón,España,PC3,0.8501864035133538,13.947060586385588,74.53553522589556
ES30,Comunidad de Madrid,España,PC3,3.5121008641837426,13.947060586385588,74.53553522589556
ES41,Castilla y León,España,PC3,0.01679502934387172,13.947060586385588,74.53553522589556
ES42,Castilla-La Mancha,España,PC3,-0.5617338890074464,13.947060586385588,74.53553522589556
ES43,Extremadura,España,PC3,0.08332201809869064,13.947060586385588,74.53553522589556
ES51,Cataluña,España,PC3,1.4276356443853957,13.947060586385588,74.53553522589556
ES52,Comunitat Valenciana ,España,PC3,1.9688099156045984,13.947060586385588,74.53553522589556
ES61,Andalucía,España,PC3,0.8013296254234248,13.947060586385588,74.53553522589556
ES62,Región de Murcia,España,PC3,2.350774487643499,13.947060586385588,74.53553522589556
PT11,Norte,Portugal,PC3,-1.6623268532902686,13.947060586385588,74.53553522589556
PT15,Algarve,Portugal,PC3,-0.675988514578896,13.947060586385588,74.53553522589556
PT19,Centro (PT),Portugal,PC3,-2.8573277767428693,13.947060586385588,74.53553522589556
PT1A,Grande Lisboa,Portugal,PC3,0.9816124641125059,13.947060586385588,74.53553522589556
PT1B,Península de Setúbal,Portugal,PC3,0.4332420696530872,13.947060586385588,74.53553522589556
PT1C,Alentejo,Portugal,PC3,-1.7993942169503727,13.947060586385588,74.53553522589556
PT1D,Oeste e Vale do Tejo,Portugal,PC3,-3.07255940720222,13.947060586385588,74.53553522589556
