variable_1,variable_2,pearson,spearman,max_abs
nivel_formativo_terciario,punto_rocio_medio_c,-0.4407399061257438,-0.47105339353690406,0.47105339353690406
ambiental_penalizacion_media_0_1,digital_torres_mastiles_1000km2,-0.47042547476947566,-0.3269339356295878,0.47042547476947566
electrica_densidad_alta_tension_km_1000km2,digital_data_centers_osm_n,0.40634818305420384,0.46315643882504715,0.46315643882504715
pvgis_produccion_anual_kwh_kwp,ambiental_densidad_sitios_1000km2,-0.4611335286386912,-0.17683618641453613,0.4611335286386912
logistica_places_n_por_1000km2,electrica_densidad_alta_tension_km_1000km2,0.4521204942120725,0.44889892715979673,0.4521204942120725
nivel_formativo_terciario,electrica_densidad_alta_tension_km_1000km2,0.3846166287628545,0.4518497779730494,0.4518497779730494
electrica_densidad_alta_tension_km_1000km2,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.38389523369298967,-0.44551101072840205,0.44551101072840205
electrica_densidad_subestaciones_1000km2,digital_data_centers_osm_n,0.388208199131908,0.44246955073856864,0.44246955073856864
nivel_formativo_terciario,precipitation_daily_mean_mm_2024_2025,0.3565929047988343,0.44224797019112216,0.44224797019112216
logistica_road_alta_capacidad_km_por_1000km2,punto_rocio_medio_c,0.4417520811183067,0.391304347826087,0.4417520811183067
logistica_places_n_por_1000km2,punto_rocio_medio_c,0.44012923032957757,0.39920948616600793,0.44012923032957757
logistica_places_n_por_1000km2,pvgis_coef_variacion_mensual,0.4264529997273088,0.43220345880869054,0.43220345880869054
nivel_formativo_terciario,digital_data_centers_osm_n,0.3505846084799945,0.40523264904413026,0.40523264904413026
corine_compat_media_0_3,pvgis_perdidas_totales_pct,-0.2650100342588274,-0.4022599512049512,0.4022599512049512
densidad_poblacion,logistica_places_n_por_1000km2,0.3968421744237934,0.37549407114624506,0.3968421744237934
nivel_formativo_terciario,pvgis_coef_variacion_mensual,0.39460940813679474,0.38626732256935536,0.39460940813679474
logistica_road_alta_capacidad_km_por_1000km2,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.37521018553594143,-0.3924336533032185,0.3924336533032185
densidad_poblacion,punto_rocio_medio_c,0.38344517526070765,0.339356295878035,0.38344517526070765
logistica_road_alta_capacidad_km_por_1000km2,pvgis_perdidas_totales_pct,0.3801241254593591,0.27062151211681407,0.3801241254593591
corine_compat_media_0_3,digital_exchanges_centrales_telecom_1000km2,0.371879520402087,0.20954533453500168,0.371879520402087
punto_rocio_medio_c,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,0.37184191987590953,0.35742518351214003,0.37184191987590953
densidad_poblacion,nivel_formativo_terciario,0.37109592578970463,0.35131320237404595,0.37109592578970463
corine_compat_media_0_3,temperatura_media_2m_c,0.3702014272975589,0.28740824392998304,0.3702014272975589
logistica_road_alta_capacidad_km_por_1000km2,digital_data_centers_osm_n,0.3627265095879204,0.3499531901295952,0.3627265095879204
corine_compat_media_0_3,logistica_road_alta_capacidad_km_por_1000km2,0.3601620675370304,0.2456239412761152,0.3601620675370304
ambiental_densidad_sitios_1000km2,temperatura_media_2m_c,-0.34866859147928325,-0.35968379446640314,0.35968379446640314
densidad_poblacion,corine_compat_media_0_3,0.3489721109011112,0.20835686053077357,0.3489721109011112
logistica_places_n_por_1000km2,ambiental_penalizacion_media_0_1,-0.34881792690185703,-0.295313382269904,0.34881792690185703
digital_data_centers_osm_n,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.33532355683534926,-0.33213948094401646,0.33532355683534926
pvgis_perdidas_totales_pct,electrica_densidad_alta_tension_km_1000km2,0.31527400441622866,0.3344633302153527,0.3344633302153527
densidad_poblacion,ambiental_densidad_sitios_1000km2,0.23083554592989286,0.33258046301524563,0.33258046301524563
digital_exchanges_centrales_telecom_1000km2,temperatura_media_2m_c,0.3264593891356773,0.31460040791373567,0.3264593891356773
corine_compat_media_0_3,logistica_places_n_por_1000km2,-0.2659101858659079,-0.3156408808582722,0.3156408808582722
electrica_densidad_subestaciones_1000km2,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.19506912455997819,-0.3156408808582722,0.3156408808582722
densidad_poblacion,pvgis_perdidas_totales_pct,0.308150852850308,0.3146893157600531,0.3146893157600531
pvgis_perdidas_totales_pct,digital_torres_mastiles_1000km2,0.31426521496946275,0.20395483481037555,0.31426521496946275
densidad_poblacion,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.3001551664156003,-0.30999435347261434,0.30999435347261434
logistica_places_n_por_1000km2,temperatura_media_2m_c,-0.30751777368378663,-0.2727272727272727,0.30751777368378663
ambiental_densidad_sitios_1000km2,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.3070487819222321,-0.23771880293619424,0.3070487819222321
logistica_places_n_por_1000km2,digital_exchanges_centrales_telecom_1000km2,0.3060393652178277,0.2671561812265655,0.3060393652178277
ambiental_densidad_sitios_1000km2,electrica_densidad_alta_tension_km_1000km2,0.2589488617028897,0.30095990965556185,0.30095990965556185
corine_compat_media_0_3,electrica_densidad_subestaciones_1000km2,0.297202471971552,0.042348955392433656,0.297202471971552
electrica_densidad_subestaciones_1000km2,precipitation_daily_mean_mm_2024_2025,0.224327017488649,0.295313382269904,0.295313382269904
pvgis_perdidas_totales_pct,electrica_densidad_subestaciones_1000km2,0.28200244535464936,0.2926554139384336,0.2926554139384336
electrica_densidad_alta_tension_km_1000km2,punto_rocio_medio_c,0.2915185106945612,0.19367588932806323,0.2915185106945612
digital_data_centers_osm_n,digital_torres_mastiles_1000km2,0.2897955354568221,0.2850193469692598,0.2897955354568221
ambiental_penalizacion_media_0_1,temperatura_media_2m_c,-0.28432506677182745,-0.24449463579898362,0.28432506677182745
electrica_densidad_alta_tension_km_1000km2,precipitation_daily_mean_mm_2024_2025,0.19250006315277188,0.277244494635799,0.277244494635799
corine_compat_media_0_3,ambiental_penalizacion_media_0_1,-0.2565751094426504,-0.2761151891586674,0.2761151891586674
ambiental_densidad_sitios_1000km2,digital_torres_mastiles_1000km2,-0.20720830308700436,-0.2738565782044043,0.2738565782044043
corine_compat_media_0_3,digital_data_centers_osm_n,0.23677900638145602,0.27122808824494077,0.27122808824494077
corine_compat_media_0_3,ambiental_densidad_sitios_1000km2,-0.2664315389641431,-0.2704686617730096,0.2704686617730096
nivel_formativo_terciario,logistica_road_alta_capacidad_km_por_1000km2,0.25976134228736875,0.13781418228178008,0.25976134228736875
ambiental_densidad_sitios_1000km2,electrica_densidad_subestaciones_1000km2,-0.2443521008763006,-0.16092603049124787,0.2443521008763006
pvgis_perdidas_totales_pct,ambiental_penalizacion_media_0_1,0.09804339630503472,0.2384181171467548,0.2384181171467548
digital_data_centers_osm_n,precipitation_daily_mean_mm_2024_2025,0.23175163962480066,0.17813709185578738,0.23175163962480066
