codigo_geo,nombre_territorio,pais,IIT-CPD_Equilibrado,IIT-CPD_Energetico,IIT-CPD_Ambiental,IIT-CPD_Tecnologico,ranking_Equilibrado,ranking_Energetico,ranking_Ambiental,ranking_Tecnologico,Clima,Energia_solar,Territorio,Medio_ambiente,Electrica,Logistica_digital,Capital_humano,Hidrica,temperatura_media_2m_c__score,punto_rocio_medio_c__score,pvgis_produccion_anual_kwh_kwp__score,pvgis_coef_variacion_mensual__score,corine_compat_media_0_3__score,ambiental_penalizacion_media_0_1__score,electrica_densidad_alta_tension_km_1000km2__score,electrica_densidad_subestaciones_1000km2__score,logistica_road_alta_capacidad_km_por_1000km2__score,logistica_places_n_por_1000km2__score,digital_torres_mastiles_1000km2__score,digital_data_centers_osm_n__score,digital_exchanges_centrales_telecom_1000km2__score,densidad_poblacion__score,nivel_formativo_terciario__score,hidrica_wei_area_estres_grave_pct_territorio_2019_2023__score,pareto_rank,es_pareto_eficiente,numero_dominadores,numero_dominados,cluster_id,nombre_perfil,distancia_centroide,score_anomalia,singular_modelo_base,singularidad_estable
ES43,Extremadura,España,0.26054848184592905,0.298373188165708,0.27726924932494673,0.14502188713816866,20,20,21,21,0.34652563821164445,0.6866304426510013,0.15870280113767948,0.07429879251656812,0.07295798969350964,0.002870827079557316,0.2534964833722791,0.4889048801051932,0.12293245257166852,0.5701188238516204,0.7438881968234197,0.6007438113923738,0.15870280113767948,0.07429879251656812,0.14591597938701928,0.0,0.0,0.0,4.309847349368606e-05,0.0,0.014311036924292891,0.10163111668757845,0.3547400611620795,0.4889048801051932,2,False,1,0,6,Cálido y con estrés hídrico,2.1086596641816007,-0.0032786576811296,False,False
ES51,Cataluña,España,0.4662165284509976,0.49484850625445026,0.4512099321416889,0.36879330882755135,6,4,12,7,0.6362189224825754,0.6841221587958799,0.2784735181707902,0.050571445759253875,0.29871927473330073,0.1517796906837328,0.7702893529537235,0.859557864028724,0.6709408326444095,0.6014970123207413,0.6778262223606354,0.6935660634487466,0.2784735181707902,0.050571445759253875,0.5152372827053507,0.0822012667612507,0.14641280444418447,0.06662977658086289,0.021968560698888476,0.375,0.14888731169472802,0.8982004466044923,0.6850152905198775,0.859557864028724,1,True,0,0,4,"Urbano, solar y de baja variabilidad",1.9741761772546935,-0.0768433958649179,False,False
ES52,Comunitat Valenciana ,España,0.39005213419972756,0.4056100487759075,0.3639007385592797,0.3010986734097973,18,11,19,11,0.36296481609202097,0.825186948205034,0.3527185624319531,0.06375466982513434,0.18194939782409847,0.15085591338801863,0.6343116614868098,0.5486751043447513,0.2567652059889034,0.46916442619513854,0.7833521488632827,0.887939147217661,0.3527185624319531,0.06375466982513434,0.31893191896229456,0.04496687668590239,0.1498540161204924,0.02767006140245891,0.03460476886215082,0.375,0.16715072055499092,0.9114672271115197,0.44954128440366975,0.5486751043447513,1,True,0,0,4,"Urbano, solar y de baja variabilidad",0.8006104012891012,-0.0647385778326004,False,False
ES61,Andalucía,España,0.39686129305312134,0.3815533113608699,0.3881915346708379,0.28709947516065093,16,17,17,14,0.30226928411332343,0.9029421360788847,0.48804957686924794,0.30897070645285674,0.10010209154455756,0.15030736765879338,0.6324232933285291,0.2898258883787779,0.09013177210848888,0.514406796118158,0.8488496574275931,0.9840808540558221,0.48804957686924794,0.30897070645285674,0.14590524190939583,0.054298941179719284,0.02318358790096132,0.01755232917106886,0.011007798924016451,0.625,0.07479312229792015,0.9984894259818731,0.3883792048929664,0.2898258883787779,1,True,0,0,6,Cálido y con estrés hídrico,1.3703969101321414,-0.0110189042325801,False,False
ES62,Región de Murcia,España,0.45218063275754455,0.42708750910346305,0.46938309314178017,0.2960946948936367,7,9,10,12,0.29961999475522594,0.866093117408907,0.7719159109953249,0.15570682590367202,0.15542739912478537,0.09271466426718016,0.5632256268550777,0.7127415227501835,0.10541705024940495,0.4938229392610469,0.7768218623481784,1.0,0.7719159109953249,0.15570682590367202,0.29269380668966066,0.018160991559910068,0.2371140995318189,0.02214524458627026,0.0,0.125,0.0793139772178116,0.9722842506239328,0.290519877675841,0.7127415227501835,1,True,0,0,4,"Urbano, solar y de baja variabilidad",2.1972120758406968,-0.0269471599096099,False,False
PT11,Norte,Portugal,0.5656806271558525,0.5679494713148057,0.6176877444140154,0.49750404736467946,2,3,1,3,0.5818238841880018,0.4711831357134353,0.5108072776818726,0.5439388773739713,0.5797588105530997,0.3567851397711088,0.48244492460385846,0.9987029673614729,0.6455273788561504,0.5181203895198532,0.5602810650887576,0.3375362416504517,0.5108072776818726,0.5439388773739713,0.34030150923655966,0.8192161118696398,0.284460165305548,0.24693224751156462,0.19641234617589004,1.0,0.0561209398625413,0.949231577564692,0.17125382262996944,0.9987029673614729,1,True,0,0,3,Infraestructura eléctrica y menor presión ambiental,1.6619858035148922,-0.0264722072670392,False,False
PT15,Algarve,Portugal,0.2596579587289333,0.2839941076818039,0.2030115379599403,0.21762726204092767,21,21,22,19,0.05654346614974165,0.9245482288557977,0.2687490814043723,0.10195844135082832,0.1295014948790241,0.1413374192718962,0.4546255379198064,0.0,0.0,0.1130869322994833,1.0,0.8113705721394943,0.2687490814043723,0.10195844135082832,0.1448178313031081,0.1141851584549401,0.1515867866163608,0.17818310673846322,0.13530310060805562,0.0,0.24161410239660136,0.9989491659004335,0.09174311926605504,0.0,1,True,0,0,6,Cálido y con estrés hídrico,2.412013340337424,-0.0010204622978806,False,False
PT19,Centro (PT),Portugal,0.42112144976207255,0.40126879125624887,0.5153373509095094,0.2940202511088658,13,14,5,13,0.4323147826923902,0.4736628004224523,0.17093599349763094,0.6432818033136449,0.22650265820875698,0.13763289350332922,0.38981271511286586,0.8948279513455104,0.4565451216630291,0.40808444372175134,0.4754554655870445,0.470973802675564,0.17093599349763094,0.6432818033136449,0.14499970629452108,0.3080056101229929,0.18537877732951238,0.23263925654524076,0.13224478515733304,0.125,0.012901648484559998,0.7038895859473023,0.18042813455657486,0.8948279513455104,1,True,0,0,3,Infraestructura eléctrica y menor presión ambiental,1.1850276107193445,-0.0533544417068324,False,False
PT1A,Grande Lisboa,Portugal,0.6302216766513538,0.6237097217571972,0.6156727289584634,0.6995230217793418,1,1,2,1,0.12327865174082259,0.5451739729618261,1.0,0.5756154388481511,1.0,0.70123376978438,0.37064220183486235,0.7258293780407878,0.24655730348164517,0.0,0.691509654313298,0.3256704509346182,1.0,0.5756154388481511,1.0,1.0,1.0,0.2997697280501004,1.0,0.5,0.7063991208717993,0.0,0.617737003058104,0.7258293780407878,1,True,0,0,1,Alta infraestructura metropolitana y digital,0.955651803823917,0.0407980028923111,True,True
PT1B,Península de Setúbal,Portugal,0.47498229079133886,0.49291098889846496,0.43384971922252713,0.5417889693391914,4,5,16,2,0.05995617683975152,0.5451739729618261,0.4675955025045394,0.3997685754516347,0.8025087354501751,0.47367458554552627,0.49191930268962913,0.5592614748876285,0.0953651004821009,0.02454725319740214,0.691509654313298,0.3256704509346182,0.4675955025045394,0.3997685754516347,0.9238111244382657,0.6812063464620844,0.529569612136052,0.12439647234435255,0.5894068432472267,0.125,1.0,0.6976881649809535,0.3547400611620795,0.5592614748876285,1,True,0,0,1,Alta infraestructura metropolitana y digital,0.9556518038239152,0.0017758671191042,True,True
PT1C,Alentejo,Portugal,0.245961396881742,0.24688508954953436,0.3073774182321819,0.13195329515911697,22,22,20,22,0.15007514135397432,0.7061358079365605,0.29695660908717814,0.5010886679040134,0.029314273097645713,0.0923529392896367,0.0,0.1917677363849275,0.04930811885190156,0.2508421638560471,0.7347788850825289,0.6631711922176079,0.29695660908717814,0.5010886679040134,0.028497721001008836,0.030130825194282593,0.027091415756208943,0.02046620529335594,0.04407153068377815,0.25,0.1201355447148404,0.0,0.0,0.1917677363849275,1,True,0,0,6,Cálido y con estrés hídrico,1.6185906494666722,-0.00316176101412,False,False
PT1D,Oeste e Vale do Tejo,Portugal,0.4689845980370201,0.4013745393208434,0.5801633119290156,0.352059005600815,5,12,3,9,0.16154193142872308,0.4736628004224523,0.45143858676555776,1.0,0.3726879710686547,0.1619927164681828,0.4132975723182117,0.7172552058243786,0.1897696593944418,0.13331420346300438,0.4754554655870445,0.470973802675564,0.45143858676555776,1.0,0.22684567180416595,0.5185302703331435,0.19422342857264777,0.1935073680732101,0.13407583004470566,0.125,0.1631569556503505,0.9598494353826851,0.04892966360856273,0.7172552058243786,1,True,0,0,3,Infraestructura eléctrica y menor presión ambiental,1.641488001347225,-0.034137991120998,False,False
